product_id,sku,name,brand,category,subcategory,price,description,weight,dimensions,color,size,stock_quantity,rating,review_count,is_featured,is_digital,shipping_class
27,YET5712A,Yeti Beach Towel,Yeti,Sports,Water Sports,233.46,High-quality water sports from Yeti. Designed for durability and performance.,0.56,18x16x14 cm,Various,One Size,180,4.1,161,False,False,Light
28,SHA4218B,Throw Blanket,Shark,Home,Bedding,105.9,The Throw Blanket delivers exceptional value and quality. Perfect for everyday use.,2.26,27x44x11 cm,Gray,One Size,179,0.0,0,False,False,Standard
29,NIK1833C,Nike Running Shoes (XXL),Nike,Clothing,Shoes,182.9,Experience comfort and style with the Nike Running Shoes (XXL). Designed for the modern lifestyle.,0.55,26x15x11 cm,Pink,L,86,4.0,67,False,False,Light
30,VTE9691D,VTech Math Games,VTech,Toys,Educational,119.65,Experience the difference with the VTech Math Games. Premium materials and expert craftsmanship.,1.0,30x29x14 cm,Black,One Size,7,0.0,0,False,False,Light
31,CHA5633A,Chanel Aftershave,Chanel,Beauty,Men's Grooming,46.01,Experience the difference with the Chanel Aftershave. Premium materials and expert craftsmanship.,0.46,8x10x6 cm,White,One Size,135,2.6,3,False,False,Light
32,COL4492D,Coleman Resistance Bands,Coleman,Sports,Fitness,170.42,High-quality fitness from Coleman. Designed for durability and performance.,3.86,29x21x24 cm,Black,One Size,184,4.2,131,True,False,Standard
33,XIA4729C,Xiaomi iPad Air,Xiaomi,Electronics,Tablets,385.34,High-quality tablets from Xiaomi. Designed for durability and performance.,0.61,30x29x6 cm,Brown,One Size,85,0.0,0,True,False,Light
34,JBL5937A,JBL Gaming PC RTX 4080,JBL,Electronics,Gaming,190.46,The JBL Gaming PC RTX 4080 delivers exceptional value and quality. Perfect for everyday use.,1.11,14x22x13 cm,Orange,One Size,174,0.0,0,False,False,Light
35,LEG7456A,LEGO Art Supplies - Brown,LEGO,Toys,Educational,77.49,The LEGO Art Supplies - Brown delivers exceptional value and quality. Perfect for everyday use.,0.49,8x14x8 cm,White,One Size,110,4.1,151,False,False,Light
36,NOR2103C,North Face Weight Bench - Orange,North Face,Sports,Fitness,37.68,The North Face Weight Bench - Orange delivers exceptional value and quality. Perfect for everyday use.,3.52,35x26x19 cm,Gold,One Size,129,4.6,232,False,False,Standard
37,WAY6971C,Wayfair Garden Hose - Brown,Wayfair,Home,Garden,384.7,"Discover why the Wayfair Garden Hose - Brown is a customer favorite. Reliable, stylish, and affordable.",0.97,21x14x15 cm,Gold,One Size,85,5.0,163,False,False,Light
38,HON2343C,Honeywell Jewelry Box - Orange,Honeywell,Home,Storage,174.57,High-quality storage from Honeywell. Designed for durability and performance.,2.24,21x52x30 cm,Brown,One Size,142,4.9,425,False,False,Standard
39,COL9842D,Columbia Swim Goggles,Columbia,Sports,Water Sports,172.13,Experience the difference with the Columbia Swim Goggles. Premium materials and expert craftsmanship.,1.1,26x26x6 cm,Gray,One Size,105,4.0,170,True,False,Light
40,UND3395D,Under Armour Maxi Dress - Brown,Under Armour,Clothing,Dresses,142.7,Experience the difference with the Under Armour Maxi Dress - Brown. Premium materials and expert craftsmanship.,0.48,5x15x3 cm,Beige,Small,979,3.5,13,False,False,Light
41,LEN5480C,Lenovo Google Pixel 8,Lenovo,Electronics,Smartphones,889.02,"Experience cutting-edge technology with the Lenovo Google Pixel 8. Features advanced camera system, all-day battery life, and premium design.",1.08,22x17x13 cm,Silver,One Size,101,5.0,384,False,False,Light
42,SHA4768A,Shark Plant Pots - Red,Shark,Home,Garden,220.38,The Shark Plant Pots - Red combines form and function for the perfect addition to your collection.,2.21,27x34x23 cm,Various,One Size,43,4.2,112,False,False,Standard
43,DYS7732A,Dyson Plant Stand,Dyson,Home,Garden,153.41,The Dyson Plant Stand combines form and function for the perfect addition to your collection.,0.61,15x18x7 cm,Pink,One Size,39,4.2,30,False,False,Light
44,COL8723D,Kettlebell - Brown,Columbia,Sports,Fitness,50.7,The Kettlebell - Brown combines form and function for the perfect addition to your collection.,4.19,31x59x26 cm,Navy,One Size,158,0.0,0,False,False,Standard
45,CRA9564D,Crate & Barrel Rugs - Blue,Crate & Barrel,Home,Decor,168.77,The Crate & Barrel Rugs - Blue combines form and function for the perfect addition to your collection.,0.31,13x13x8 cm,Purple,One Size,50,4.2,177,False,False,Light
46,COL9680D,Columbia Pull-Up Bar - Black,Columbia,Sports,Fitness,61.31,The Columbia Pull-Up Bar - Black combines form and function for the perfect addition to your collection.,0.94,14x18x12 cm,Gold,One Size,102,4.3,198,False,False,Light
47,URB1116A,Urban Decay Razor,Urban Decay,Beauty,Men's Grooming,28.39,The Urban Decay Razor delivers exceptional value and quality. Perfect for everyday use.,0.27,14x9x4 cm,Various,One Size,85,4.1,47,False,False,Light
48,OLA8904B,Body Butter,Olay,Beauty,Body Care,17.96,"Discover why the Body Butter is a customer favorite. Reliable, stylish, and affordable.",0.39,15x6x7 cm,Beige,One Size,83,3.9,95,False,False,Light
49,H&M1852B,Cargo Pants,H&M,Clothing,Bottoms,61.96,"Discover why the Cargo Pants is a customer favorite. Reliable, stylish, and affordable.",0.14,9x8x4 cm,Black,One Size,42,3.9,81,False,False,Light
50,PHI9099D,Towel Set,Philips,Home,Bath,16.45,The Towel Set combines form and function for the perfect addition to your collection.,0.56,17x29x7 cm,Yellow,One Size,137,4.2,28,False,False,Light
